Initialised
Listening to port 4567
Connected!!!
CTE: , 0.183 , Next Steering Value: -0.0176
42["steer",{"steering_angle":-0.0176,"throttle":0.2}]
CTE: , 0.1734 , Next Steering Value: -0.01548
42["steer",{"steering_angle":-0.01548,"throttle":0.2}]
CTE: , 0.1613 , Next Steering Value: -0.00806
42["steer",{"steering_angle":-0.00806,"throttle":0.2}]
CTE: , 0.1518 , Next Steering Value: -0.01136
42["steer",{"steering_angle":-0.01136,"throttle":0.2}]
CTE: , 0.1427 , Next Steering Value: -0.01034
42["steer",{"steering_angle":-0.01034,"throttle":0.2}]
CTE: , 0.1342 , Next Steering Value: -0.00984
42["steer",{"steering_angle":-0.00984000000000004,"throttle":0.2}]
CTE: , 0.1242 , Next Steering Value: -0.00484
42["steer",{"steering_angle":-0.00483999999999998,"throttle":0.2}]
CTE: , 0.1168 , Next Steering Value: -0.00856
42["steer",{"steering_angle":-0.00855999999999999,"throttle":0.2}]
CTE: , 0.1101 , Next Steering Value: -0.00862
42["steer",{"steering_angle":-0.00862000000000001,"throttle":0.2}]
CTE: , 0.1027 , Next Steering Value: -0.00574
42["steer",{"steering_angle":-0.00574,"throttle":0.2}]
CTE: , 0.0975 , Next Steering Value: -0.0091
42["steer",{"steering_angle":-0.00910000000000001,"throttle":0.2}]
CTE: , 0.0931 , Next Steering Value: -0.00982
42["steer",{"steering_angle":-0.00982,"throttle":0.2}]
CTE: , 0.0893 , Next Steering Value: -0.01026
42["steer",{"steering_angle":-0.01026,"throttle":0.2}]
CTE: , 0.0905 , Next Steering Value: -0.0205
42["steer",{"steering_angle":-0.0205,"throttle":0.2}]
CTE: , 0.107 , Next Steering Value: -0.0544
42["steer",{"steering_angle":-0.0544,"throttle":0.2}]
CTE: , 0.1301 , Next Steering Value: -0.07222
42["steer",{"steering_angle":-0.07222,"throttle":0.2}]
CTE: , 0.1573 , Next Steering Value: -0.08586
42["steer",{"steering_angle":-0.08586,"throttle":0.2}]
CTE: , 0.1857 , Next Steering Value: -0.09394
42["steer",{"steering_angle":-0.09394,"throttle":0.2}]
CTE: , 0.203 , Next Steering Value: -0.0752
42["steer",{"steering_angle":-0.0752,"throttle":0.2}]
CTE: , 0.2147 , Next Steering Value: -0.06634
42["steer",{"steering_angle":-0.06634,"throttle":0.2}]
CTE: , 0.2218 , Next Steering Value: -0.05856
42["steer",{"steering_angle":-0.05856,"throttle":0.2}]
CTE: , 0.2259 , Next Steering Value: -0.05338
42["steer",{"steering_angle":-0.05338,"throttle":0.2}]
CTE: , 0.2239 , Next Steering Value: -0.04078
42["steer",{"steering_angle":-0.04078,"throttle":0.2}]
CTE: , 0.2193 , Next Steering Value: -0.03466
42["steer",{"steering_angle":-0.03466,"throttle":0.2}]
CTE: , 0.2128 , Next Steering Value: -0.02956
42["steer",{"steering_angle":-0.02956,"throttle":0.2}]
CTE: , 0.2049 , Next Steering Value: -0.02518
42["steer",{"steering_angle":-0.02518,"throttle":0.2}]
CTE: , 0.1937 , Next Steering Value: -0.01634
42["steer",{"steering_angle":-0.01634,"throttle":0.2}]
CTE: , 0.184 , Next Steering Value: -0.0174
42["steer",{"steering_angle":-0.0174,"throttle":0.2}]
CTE: , 0.1741 , Next Steering Value: -0.01502
42["steer",{"steering_angle":-0.01502,"throttle":0.2}]
CTE: , 0.1643 , Next Steering Value: -0.01326
42["steer",{"steering_angle":-0.01326,"throttle":0.2}]
CTE: , 0.1521 , Next Steering Value: -0.00602
42["steer",{"steering_angle":-0.00602000000000003,"throttle":0.2}]
CTE: , 0.1427 , Next Steering Value: -0.00974
42["steer",{"steering_angle":-0.00973999999999996,"throttle":0.2}]
CTE: , 0.1339 , Next Steering Value: -0.00918
42["steer",{"steering_angle":-0.00917999999999999,"throttle":0.2}]
CTE: , 0.1258 , Next Steering Value: -0.00896
42["steer",{"steering_angle":-0.00896000000000001,"throttle":0.2}]
CTE: , 0.1165 , Next Steering Value: -0.0047
42["steer",{"steering_angle":-0.00470000000000002,"throttle":0.2}]
CTE: , 0.1098 , Next Steering Value: -0.00856
42["steer",{"steering_angle":-0.00855999999999998,"throttle":0.2}]
CTE: , 0.1039 , Next Steering Value: -0.00898
42["steer",{"steering_angle":-0.00898000000000003,"throttle":0.2}]
CTE: , 0.0988 , Next Steering Value: -0.00956
42["steer",{"steering_angle":-0.00955999999999999,"throttle":0.2}]
CTE: , 0.0944 , Next Steering Value: -0.01008
42["steer",{"steering_angle":-0.01008,"throttle":0.2}]
CTE: , 0.0905 , Next Steering Value: -0.0103
42["steer",{"steering_angle":-0.0103,"throttle":0.2}]
CTE: , 0.0866 , Next Steering Value: -0.00952
42["steer",{"steering_angle":-0.00952,"throttle":0.2}]
CTE: , 0.084 , Next Steering Value: -0.0116
42["steer",{"steering_angle":-0.0116,"throttle":0.2}]
CTE: , 0.0821 , Next Steering Value: -0.01262
42["steer",{"steering_angle":-0.01262,"throttle":0.2}]
CTE: , 0.0808 , Next Steering Value: -0.01356
42["steer",{"steering_angle":-0.01356,"throttle":0.2}]
CTE: , 0.0936 , Next Steering Value: -0.04432
42["steer",{"steering_angle":-0.04432,"throttle":0.2}]
CTE: , 0.1278 , Next Steering Value: -0.09396
42["steer",{"steering_angle":-0.09396,"throttle":0.2}]
CTE: , 0.1787 , Next Steering Value: -0.13754
42["steer",{"steering_angle":-0.13754,"throttle":0.2}]
CTE: , 0.2283 , Next Steering Value: -0.14486
42["steer",{"steering_angle":-0.14486,"throttle":0.2}]
CTE: , 0.2773 , Next Steering Value: -0.15346
42["steer",{"steering_angle":-0.15346,"throttle":0.2}]
CTE: , 0.305 , Next Steering Value: -0.1164
